show_id,content,type,country,date_added,release_year,rating,duration,listed_in
s6,"Midnight Mass Mike Flanagan Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",TV Show,nan,"September 24, 2021",2021,,1 Season,"TV Dramas, TV Horror, TV Mysteries"
s7,"My Little Pony: A New Generation Robert Cullen, José Luis Ucha Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",Movie,nan,"September 24, 2021",2021,,91 min,Children & Family Movies
s8,"Sankofa Haile Gerima Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",Movie,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,,125 min,"Dramas, Independent Movies, International Movies"
s9,"The Great British Baking Show Andy Devonshire Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",TV Show,United Kingdom,"September 24, 2021",2021,,9 Seasons,"British TV Shows, Reality TV"
s10,"The Starling Theodore Melfi Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.",Movie,United States,"September 24, 2021",2021,,104 min,"Comedies, Dramas"
s11,"Vendetta: Truth, Lies and The Mafia nan nan Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",TV Show,nan,"September 24, 2021",2021,,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
s12,"Bangkok Breaking Kongkiat Komesiri Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",TV Show,nan,"September 23, 2021",2021,,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s13,"Je Suis Karl Christian Schwochow Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",Movie,"Germany, Czech Republic","September 23, 2021",2021,,127 min,"Dramas, International Movies"
s14,"Confessions of an Invisible Girl Bruno Garotti Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",Movie,nan,"September 22, 2021",2021,,91 min,"Children & Family Movies, Comedies"
s15,Crime Stories: India Detectives nan nan Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,TV Show,nan,"September 22, 2021",2021,,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
s16,"Dear White People nan Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",TV Show,United States,"September 22, 2021",2021,,4 Seasons,"TV Comedies, TV Dramas"
s17,"Europe's Most Dangerous Man: Otto Skorzeny in Spain Pedro de Echave García, Pablo Azorín Williams nan Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",Movie,nan,"September 22, 2021",2020,,67 min,"Documentaries, International Movies"
s18,"Falsa identidad nan Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.",TV Show,Mexico,"September 22, 2021",2020,,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas"
s19,"Intrusion Adam Salky Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",Movie,nan,"September 22, 2021",2021,,94 min,Thrillers
s20,"Jaguar nan Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",TV Show,nan,"September 22, 2021",2021,,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
