                       0                                                                                                                                                                                                                                                                                                                               1
0                Word /s                                                                                                                                                                                                                                                                                                                Specific meaning
1       General Contents                               are all the contents of household use in Your Home, e.g., furniture, electronic General Contents\nitems and goods, antennae, solar panels, water storage equipment, kitchen equipment, electrical\nequipment (including those fitted on walls), clothing and apparel and items of similar nature.
2      Valuable Contents                                                                                                                                                                     of Your Home consist of items such as jewellery, silverware, paintings, Valuable Contents\nworks of art, antique items, curios and items of similar nature.
3                Insured                                                                                                                                                                                                                                                          The Person/s who has/have purchased Insurance Cover under this Policy.
4       Insured Property                                                                                                                                                                                                                                           Your Home Building and Home Contents, or any item of property covered by this Policy.
5    Kutcha Construction                                                                                                                                                                Building(s) having walls and/or roofs of wooden planks/thatched leaves and/or grass/hay of\nany kind/bamboo/plastic cloth/asphalt/canvas/tarpaulin and the like.
6          Policy Period  Policy period means the period commencing from the effective date and time as shown in\nthe Policy Schedule and terminating at Midnight on the expiry date as shown in the Policy\nSchedule or on the termination of or the cancellation of insurance as provided for in Clause\nof this Policy, whichever is earlier. G (III)
7        Policy Schedule                                                                                                                                                                     The document accompanying and forming part of the Policy that gives Your details and of\nYour insurance cover, as described in of this Policy. Clause A (3)
8                Premium                                                                                                                                                                 The premium is the amount You pay Us for this insurance. The Policy Schedule shows the\namount of premium for the Policy Period and all other taxes and levies.
9     Pucca Construction                                                                                                                                                                                                                                                                                    Construction other than Kutcha Construction.
10        Saleable Value                                                                                                                                                                              It is the purchase cost of flat or apartment or a value which can be realized if Flat or Apartment\nis sold on the date of proposal for insurance.
11                Spouse                                                                                                                                                                                                                                                                                                           Your wife or husband.
12           Sum Insured                                                                                                               The amount shown as Sum Insured in the Policy Schedule and as described in Clause C (4)\nand of this It represents Our maximum liability for each cover or part of Clause D (2) Policy.\ncover and for each loss.
13            Total Loss                                                                                                                         A situation where the Insured Property or item is completely destroyed, lost or damaged beyond\nretrieval or repair or the cost of repairing it is more than the Sum Insured for that item or in total.
14  We, Us, Our, Insurer                                                                                                                                                                                                                   The HDFC ERGO General Insurance Company that has provided Insurance Cover under this\nPolicy; of the Company.
15    You, Your, Insured                                                                                                                                                                                                                       The Insured Person/s who has/have purchased Insurance Cover under this Policy; of such\nInsured Person/s.
16    Your Home Building                                                                                                            is a building consisting of a residential unit, having an enclosed structure Your Home Building\nand a roof, basement (if any) and used as a dwelling place described in detail as per Clause\nof this Policy. C (2)
