                                                                                                                                                                                                                                                                                             0                                                                                1                       2
0                                                                                                                                                                                                                                                                               Office Details                              Jurisdiction of Office\n(Union Territory, District)  Date Of Taking\nCharge
1                                  AHMEDABAD - Shri. / Smt. Office of the Insurance Ombudsman,\n2nd floor, Ambica House, Near C.U. Shah College, 5, Navyug\nColony, Ashram Road, Ahmedabad – 380 014.\nTel.:- 079-27545441/27546840 Fax : 079-27546142\nEmail: bimalokpal.ahmedabad@gbic.co.in                                  Gujarat,\nDadra & Nagar Haveli,\nDaman and Diu.                    None
2                                            BENGALURU - Shri. M. Parshad Office of the Insurance\nOmbudsman, Jeevan Soudha Building, Ground Floor, 19/19,\n24th Main Road, JP Nagar, Ist Phase, Bengaluru – 560 025.\nTel.: 080 - 26652048 / 26652049\nEmail: bimalokpal.bengaluru@gbic.co.in                                                                       Karnataka.              14-08-2014
3                                BHOPAL - Shri. R K Srivastava Office of the Insurance\nOmbudsman, Janak Vihar Complex, 2nd Floor, 6, Malviya\nNagar, Opp. Airtel Office, Near New Market, Bhopal – 462 003.\nTel.:- 0755-2769201/9202 Fax : 0755-2769203\nEmail: bimalokpal.bhopal@gbic.co.in                                                     Madhya Pradesh\nChattisgarh.              27-05-2013
4                                                                                      BHUBANESHWAR - Shri. B. N. Mishra Office of the Insurance\nOmbudsman, 62, Forest park, Bhubneshwar – 751 009.\nTel.:- 0674-2596455/2596003 Fax : 0674-2596429\nEmail: bimalokpal.bhubaneswar@gbic.co.in                                                                          Orissa.              22-07-2014
5                                                        CHANDIGARH - Office of the Insurance Ombudsman, S.C.O.\nNo. 101, 102 & 103, 2nd Floor, Batra Building, Sector 17 – D,\nChandigarh – 160 017.\nTel.:- 0172-2706468/2772101 Fax : 0172-2708274\nEmail: bimalokpal.chandigarh@gbic.co.in               Punjab, Haryana,\nHimachal Pradesh,\nJammu & Kashmir,\nChandigarh.              21-09-2012
6                                                CHENNAI - Shri Virander Kumar Office of the Insurance\nOmbudsman, Fatima Akhtar Court, 4th Floor, 453, Anna Salai,\nTeynampet, CHENNAI – 600 018.\nTel.: 044 - 24333668 / 24335284\nFax: 044 - 24333664\nEmail: bimalokpal.chennai@gbic.co.in    Tamil Nadu,\nPondicherry Town and\nKaraikal (which are part of\nPondicherry).              09-05-2013
7                                                               DELHI - Smt. Sandhya Baliga Office of the Insurance\nOmbudsman, 2/2 A, Universal Insurance Building, Asaf Ali Road,\nNew Delhi – 110 002.\nTel.:- 011-23234057/23232037 Fax : 011-23230858\nEmail: bimalokpal.delhi@gbic.co.in                                                                           Delhi.              15-07-2014
8                                               GUWAHATI - Sh. / Smt. Office of the Insurance Ombudsman,\nJeevan Nivesh, 5th Floor, Nr. Panbazar over bridge, S.S. Road,\nGuwahati – 781001(ASSAM).\nTel.: 0361 - 2132204 / 2132205 Fax: 0361 - 2732937\nEmail: bimalokpal.guwahati@gbic.co.in  Assam, Meghalaya,\nManipur, Mizoram,\nArunachal Pradesh,\nNagaland and Tripura.                    None
9   HYDERABAD - Shri. G. Rajeswara Rao Office of the Insurance\nOmbudsman, 6-2-46, 1st floor, "Moin Court", Lane Opp. Saleem\nFunction Palace, A. C. Guards, Lakdi-Ka-Pool,\nHyderabad - 500 004.\nTel.: 040 - 65504123 / 23312122 Fax: 040 - 23376599\nEmail: bimalokpal.hyderabad@gbic.co.in        Andhra Pradesh,\nTelangana, Yanam and\npart of Territory of\nPondicherry.              15-05-2013
10                                                                                                                                                 JAIPUR - Shri. Ashok K. Jain Office of the Insurance\nOmbudsman, Jeevan Nidhi – II Bldg., Gr. Floor, Bhawani Singh\nMarg, Jaipur - 302 005.                                                                       Rajasthan.              10-10-2014
