id,link,title,description,price,currency,availability,condition,image_link,mpn
Google_Sticker,https://shop.merch.google/product/google-sticker-ggoegcka166399/,Google Sticker,"Nothing beats a classic!  You can't go wrong with this trusty Google sticker in your life. 3.5"" wide, removable sticker",1.50 USD,USD,IN_STOCK,NEW,https://ik.imagekit.io/RM/store/20160512512/assets/items/largeimages/GGOEGCKA166399.jpg,GGOEGCKA166399
Google_Cloud_Sticker,https://shop.merch.google/product/google-cloud-sticker-ggoecckq173599/,Google Cloud Sticker,"Brighten up your tumbler, notebook, laptop, and more with a breath of fresh air, courtesy the Google Cloud sticker. 2.5"" wide, removable sticker",1.50 USD,USD,IN_STOCK,NEW,https://ik.imagekit.io/RM/store/20160512512/assets/items/largeimages/GGOECCKQ173599.jpg,GGOECCKQ173599
Android_Black_Pen,https://shop.merch.google/product/android-black-pen-ggoeaoab217899/,Android Black Pen,"Add a delightful addition to your writing station with a clickable fine point pen.  Featuring a soft touch matte finish and a bold Android logo. soft touch surface
fine point gel tip
black ink
plunger-action",2.00 USD,USD,IN_STOCK,NEW,https://ik.imagekit.io/RM/store/20160512512/assets/items/largeimages/GGOEAOAB217899.jpg,GGOEAOAB217899
Google_Ombre_Lime_Pen,https://shop.merch.google/product/google-ombre-lime-pen-ggoegoaa172299/,Google Ombre Lime Pen,"You just can't help but feel a little cheery when looking at these bright Ombre pens! With its soft touch and smooth writing experience, that cheery feeling is sure to last. fine point hybrid black ink",2.00 USD,USD,IN_STOCK,NEW,https://ik.imagekit.io/RM/store/20160512512/assets/items/largeimages/GGOEGOAA172299.jpg,GGOEGOAA172299
For_Everyone_Eco_Pen,https://shop.merch.google/product/for-everyone-eco-pen-ggoegoaq196699/,For Everyone Eco Pen,"Smooth writing and eco-friendly&you've got a winner in your hands!  This impressive For Everyone pen has got it all. measures: 5 5/83h
made of recycled abs plastic, featuring geometric holes to reduce material use
jumbo barrel
black ink",2.00 USD,USD,IN_STOCK,NEW,https://ik.imagekit.io/RM/store/20160512512/assets/items/largeimages/GGOEGOAQ196699.jpg,GGOEGOAQ196699
Google_Maps_Wheat_Pen,https://shop.merch.google/product/google-maps-wheat-pen-ggoegoab177399/,Google Maps Wheat Pen,"Drop your pen to paper and start planning your next adventure with this eco-friendly pen made from 40% reclaimed wheat straw! black ink 
retractable medium ballpoint pen",2.00 USD,USD,IN_STOCK,NEW,https://ik.imagekit.io/RM/store/20160512512/assets/items/largeimages/GGOEGOAB177399.jpg,GGOEGOAB177399
Google_Ombre_Yellow_Pen,https://shop.merch.google/product/google-ombre-yellow-pen-ggoegoaa172399/,Google Ombre Yellow Pen,"You just can't help but feel a little cheery when looking at these bright Ombre pens! With its soft touch and smooth writing experience, that cheery feeling is sure to last. fine point hybrid black ink",2.00 USD,USD,IN_STOCK,NEW,https://ik.imagekit.io/RM/store/20160512512/assets/items/largeimages/GGOEGOAA172399.jpg,GGOEGOAA172399
Google_Ombre_Purple_Pen,https://shop.merch.google/product/google-ombre-purple-pen-ggoegoaa172199/,Google Ombre Purple Pen,"You just can't help but feel a little cheery when looking at these bright Ombre pens! With its soft touch and smooth writing experience, that cheery feeling is sure to last. fine point hybrid black ink",2.00 USD,USD,IN_STOCK,NEW,https://ik.imagekit.io/RM/store/20160512512/assets/items/largeimages/GGOEGOAA172199.jpg,GGOEGOAA172199
Google_Pen_Bright_Blue,https://shop.merch.google/product/google-pen-bright-blue-ggoegoac123799/,Google Pen Bright Blue,"Whether you are signing official documents or creating the next Google Doodle this pen is the perfect writing companion! soft touch surface.
fine point gel tip.
bright blue ink.",2.00 USD,USD,IN_STOCK,NEW,https://ik.imagekit.io/RM/store/20160512512/assets/items/largeimages/GGOEGOAC123799.jpg,GGOEGOAC123799
Chrome_Dino_Party_Time_Sticker,https://shop.merch.google/product/chrome-dino-party-time-sticker-ggoegdka220399/,Chrome Dino Party Time Sticker,"Did someone say party?  Chrome Dino will be there with bells on&well, maybe just a hat!  Our glittery sticker will get you in the celebratory spirit too. measures 3 h x 2 w
made from vinyl",2.00 USD,USD,IN_STOCK,NEW,https://ik.imagekit.io/RM/store/20160512512/assets/items/largeimages/GGOEGDKA220399.jpg,GGOEGDKA220399
